STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,INTPTLAT10,INTPTLON10,State,COUNTY,HH_COUNT,OHU_OWN,OHU_RENT,PERC_OWN,PERC_RENT,MHI,MED_VAL,HOUSINGCOS,MCR_ANNUAL,MSMOC_TOT_,TAX_RET,Avg_TransC,REtaxperow,DISP_INC,energy_cos,REtax_ACS,AVG_TTL,LOCALNAME,Shape_Area,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,state_2,county_2,ST_FIPS,CTY_FIPS,URL,shape_ar_1,SHAPE_LEN
36,081,035800,36081035800,+40.6757929,-073.7509687,New York,Queens County,1241,834,350,0.70439189189,0.29560810811,70918.00000000000,447400.00000000000,23120.39190000000,14076.00000000000,26916.00000000000,2478.46618202000,7632.33699600000,2528.41427410000,31882.43518740000,2532.57207516000,2148,5750.26384141000,Laurelton,0.00005557865,11413,0,Springfield Gardens,39349.00000000,86208498.58906820,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036100,36081036100,+40.7612829,-073.8724157,New York,Queens County,711,195,527,0.27008310249,0.72991689751,36055.00000000000,432800.00000000000,8418.54850000000,8976.00000000000,6912.00000000000,1036.80881334000,3880.31121000000,2504.59599949000,18793.26069230000,2115.14875152000,2490,2847.73084619000,East Elmhurst,0.00001678324,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036100,36081036100,+40.7612829,-073.8724157,New York,Queens County,711,195,527,0.27008310249,0.72991689751,36055.00000000000,432800.00000000000,8418.54850000000,8976.00000000000,6912.00000000000,1036.80881334000,3880.31121000000,2504.59599949000,18793.26069230000,2115.14875152000,2490,2847.73084619000,East Elmhurst,0.00001678324,11368,0,Corona,109069.00000000,72489663.28446300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036300,36081036300,+40.7596838,-073.8694173,New York,Queens County,618,258,407,0.38796992481,0.61203007519,51399.00000000000,395100.00000000000,14679.17590000000,12924.00000000000,17448.00000000000,662.34095068800,5531.66317800000,1160.95507868000,24781.07462980000,2378.75039616000,2715,4028.33589607000,East Elmhurst,0.00001438599,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036300,36081036300,+40.7596838,-073.8694173,New York,Queens County,618,258,407,0.38796992481,0.61203007519,51399.00000000000,395100.00000000000,14679.17590000000,12924.00000000000,17448.00000000000,662.34095068800,5531.66317800000,1160.95507868000,24781.07462980000,2378.75039616000,2715,4028.33589607000,East Elmhurst,0.00001438599,11368,0,Corona,109069.00000000,72489663.28446300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036500,36081036500,+40.7595247,-073.8656055,New York,Queens County,946,344,521,0.39768786127,0.60231213873,62083.00000000000,686100.00000000000,24372.26360000000,13272.00000000000,41184.00000000000,1054.27523373000,6681.49662600000,1392.38696163000,23803.40316650000,2355.94049928000,2953,4869.89610824000,East Elmhurst,0.00001772481,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036500,36081036500,+40.7595247,-073.8656055,New York,Queens County,946,344,521,0.39768786127,0.60231213873,62083.00000000000,686100.00000000000,24372.26360000000,13272.00000000000,41184.00000000000,1054.27523373000,6681.49662600000,1392.38696163000,23803.40316650000,2355.94049928000,2953,4869.89610824000,East Elmhurst,0.00001772481,11368,0,Corona,109069.00000000,72489663.28446300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036600,36081036600,+40.6856494,-073.7631013,New York,Queens County,907,491,395,0.55417607223,0.44582392777,45000.00000000000,372800.00000000000,16011.98190000000,11184.00000000000,19896.00000000000,1282.99739391000,4842.99000000000,1544.06914053000,18645.00828150000,2134.12307700000,2150,3365.89674148000,St. Albans,0.00003930750,11412,0,Saint Albans,35019.00000000,45842752.22607300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036600,36081036600,+40.6856494,-073.7631013,New York,Queens County,907,491,395,0.55417607223,0.44582392777,45000.00000000000,372800.00000000000,16011.98190000000,11184.00000000000,19896.00000000000,1282.99739391000,4842.99000000000,1544.06914053000,18645.00828150000,2134.12307700000,2150,3365.89674148000,St. Albans,0.00003930750,11434,0,Jamaica,57989.00000000,87379704.15784140,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036700,36081036700,+40.7632242,-073.8679426,New York,Queens County,775,561,259,0.68414634146,0.31585365854,58047.00000000000,510600.00000000000,21384.61460000000,14472.00000000000,24576.00000000000,1020.66110184000,6247.13423400000,858.79347379700,23277.21781780000,2551.48174308000,2443,4586.55160512000,East Elmhurst,0.00002084116,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,036800,36081036800,+40.6852929,-073.7664502,New York,Queens County,755,563,222,0.71719745223,0.28280254777,64271.00000000000,379300.00000000000,22984.76940000000,11676.00000000000,27444.00000000000,929.17993825600,6916.97356200000,823.45650319700,27054.66056790000,2375.94331152000,2243,4938.65315854000,St. Albans,0.00002427066,11434,0,Jamaica,57989.00000000,87379704.15784140,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037100,36081037100,+40.7641258,-073.8638400,New York,Queens County,481,267,185,0.59070796460,0.4092920354,61346.00000000000,550200.00000000000,19834.03540000000,17268.00000000000,21612.00000000000,671.39232053400,6602.17921200000,1186.95742360000,27603.72918410000,2458.83593808000,2325,4847.22026578000,East Elmhurst,0.00001796064,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037100,36081037100,+40.7641258,-073.8638400,New York,Queens County,481,267,185,0.59070796460,0.4092920354,61346.00000000000,550200.00000000000,19834.03540000000,17268.00000000000,21612.00000000000,671.39232053400,6602.17921200000,1186.95742360000,27603.72918410000,2458.83593808000,2325,4847.22026578000,East Elmhurst,0.00001796064,11368,0,Corona,109069.00000000,72489663.28446300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037300,36081037300,+40.7597007,-073.8598971,New York,Queens County,718,200,519,0.27816411683,0.72183588317,56625.00000000000,549600.00000000000,16348.32270000000,17076.00000000000,14460.00000000000,952.09343840200,6094.09575000000,2057.87355150000,27290.79703640000,2490.38693568000,2937,4401.39757788000,East Elmhurst,0.00002606753,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037300,36081037300,+40.7597007,-073.8598971,New York,Queens County,718,200,519,0.27816411683,0.72183588317,56625.00000000000,549600.00000000000,16348.32270000000,17076.00000000000,14460.00000000000,952.09343840200,6094.09575000000,2057.87355150000,27290.79703640000,2490.38693568000,2937,4401.39757788000,East Elmhurst,0.00002606753,11368,0,Corona,109069.00000000,72489663.28446300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037500,36081037500,+40.7513539,-073.8700124,New York,Queens County,922,67,924,0.06760847629,0.93239152371,45043.00000000000,627500.00000000000,15117.22700000000,12732.00000000000,48012.00000000000,1277.78071367000,4847.61774600000,3637.38965522000,19745.07723680000,2138.55152688000,2163,3194.52649035000,Corona,0.00001654818,11369,0,East Elmhurst,38116.00000000,30060493.24637420,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037500,36081037500,+40.7513539,-073.8700124,New York,Queens County,922,67,924,0.06760847629,0.93239152371,45043.00000000000,627500.00000000000,15117.22700000000,12732.00000000000,48012.00000000000,1277.78071367000,4847.61774600000,3637.38965522000,19745.07723680000,2138.55152688000,2163,3194.52649035000,Corona,0.00001654818,11368,0,Corona,109069.00000000,72489663.28446300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037500,36081037500,+40.7513539,-073.8700124,New York,Queens County,922,67,924,0.06760847629,0.93239152371,45043.00000000000,627500.00000000000,15117.22700000000,12732.00000000000,48012.00000000000,1277.78071367000,4847.61774600000,3637.38965522000,19745.07723680000,2138.55152688000,2163,3194.52649035000,Corona,0.00001654818,11372,0,Jackson Heights,66636.00000000,20163283.87432020,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037500,36081037500,+40.7513539,-073.8700124,New York,Queens County,922,67,924,0.06760847629,0.93239152371,45043.00000000000,627500.00000000000,15117.22700000000,12732.00000000000,48012.00000000000,1277.78071367000,4847.61774600000,3637.38965522000,19745.07723680000,2138.55152688000,2163,3194.52649035000,Corona,0.00001654818,11373,0,Elmhurst,101282.00000000,42654860.33720750,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
36,081,037600,36081037600,+40.6878328,-073.7541429,New York,Queens County,1848,1487,420,0.77975878343,0.22024121657,70767.00000000000,415500.00000000000,19249.11380000000,11988.00000000000,21300.00000000000,2654.42742695000,7616.08607400000,1351.94814586000,35991.06483690000,2529.97104060000,2176,5380.76424854000,Springfield Gardens,0.00008142815,11412,0,Saint Albans,35019.00000000,45842752.22607300,NY,Queens,36,081,http://www.usps.com/,0.000000000000000,0.00000000000
